Model Outputs
100
,,HJX:CentreOfMass,,,HJX:CentreOfMassFloor,,,HJX:HED,,,,,,,,,HJX:LAbsAnkleAngle,,,HJX:LAnkleAngles,,,HJX:LCL,,,,,,,,,HJX:LElbowAngles,,,HJX:LFE,,,,,,,,,HJX:LFO,,,,,,,,,HJX:LFootProgressAngles,,,HJX:LHN,,,,,,,,,HJX:LHU,,,,,,,,,HJX:LHeadAngles,,,HJX:LHipAngles,,,HJX:LKneeAngles,,,HJX:LNeckAngles,,,HJX:LPelvisAngles,,,HJX:LRA,,,,,,,,,HJX:LShoulderAngles,,,HJX:LSpineAngles,,,HJX:LTI,,,,,,,,,HJX:LTO,,,,,,,,,HJX:LThoraxAngles,,,HJX:LWristAngles,,,HJX:PEL,,,,,,,,,HJX:RAbsAnkleAngle,,,HJX:RAnkleAngles,,,HJX:RCL,,,,,,,,,HJX:RElbowAngles,,,HJX:RFE,,,,,,,,,HJX:RFO,,,,,,,,,HJX:RFootProgressAngles,,,HJX:RHN,,,,,,,,,HJX:RHU,,,,,,,,,HJX:RHeadAngles,,,HJX:RHipAngles,,,HJX:RKneeAngles,,,HJX:RNeckAngles,,,HJX:RPelvisAngles,,,HJX:RRA,,,,,,,,,HJX:RShoulderAngles,,,HJX:RSpineAngles,,,HJX:RTI,,,,,,,,,HJX:RTO,,,,,,,,,HJX:RThoraxAngles,,,HJX:RWristAngles,,,HJX:TRX,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
88,0,0,0,0,0,0,0,26.3416,-20.4628,86.0751,195.128,906.582,1575,201.728,201.728,201.728,-2.85166,0,0,-3.76307,-3.34636,40.7079,66.9043,90.2109,85.7835,37.9317,932.918,1457.68,180.457,180.457,180.457,18.0284,-8.94531e-016,-3.9916e-013,4.38344,19.7101,85.6177,62.2139,934.821,502.681,548.025,548.025,548.025,59.929,-62.4953,84.2317,46.4988,1044.7,83.1503,258.305,258.305,258.305,-77.0645,8.0653,-4.51155,2.17135,-45.3253,118.438,21.2841,1163.29,742.956,205.892,205.892,205.892,23.1511,-19.7814,188.357,-45.0975,991.144,1150.77,323.235,323.235,323.235,30.0608,3.17119,2.54679,-7.45346,-14.3543,-0.692706,-0.393158,17.7329,-47.6693,-28.3258,-7.36183,2.12115,2.8854,0.9902,2.99206,-6.5672,-22.097,187.396,-32.3412,1050.57,906.695,233.923,233.923,233.923,7.92456,18.828,75.3613,-4.70387,4.11261,-0.125978,-7.19517,10.7308,135.132,75.1693,871.85,142.352,366.02,366.02,366.02,59.929,-62.4952,84.2317,39.726,1128.36,63.9359,86.1017,86.1017,86.1017,-1.59576,-3.36176,2.8562,16.2625,17.7567,66.751,-1.55662,2.98255,86.9608,217.889,1022.41,1022.75,14.6704,14.6704,14.6704,-4.46578,0,0,-5.48029,-3.12898,35.3835,-84.7409,-58.3298,38.8062,353.306,921.237,1465.66,174.935,174.935,174.935,36.6665,-3.97569e-016,9.50986e-013,-16.1345,-6.89454,73.2372,359.079,944.806,496.386,548.479,548.479,548.479,66.5538,-49.115,74.3663,339.766,1051.38,87.105,251.256,251.256,251.256,-75.5827,7.27793,7.66063,35.0825,-15.4403,32.3709,498.021,1100.46,777.726,147.956,147.956,147.956,6.27669,-20.7966,-65.5068,472.732,886.244,1133.58,354.634,354.634,354.634,30.0608,-3.17119,-2.54679,-4.67433,-15.3774,-14.276,6.50296,14.4057,-9.65698,-28.3258,7.36183,-2.12115,2.8854,-0.9902,-2.99206,26.4489,11.785,-59.9494,487.051,1010.45,894.636,250.798,250.798,250.798,-6.346,16.8033,28.0369,-4.70387,-4.11261,0.125978,-8.26807,6.87136,61.7482,349.524,882.865,149.316,352.683,352.683,352.683,66.5538,-49.1149,74.3662,328.601,1131.77,66.4384,83.7521,83.7521,83.7521,-1.59576,3.36176,-2.8562,8.19464,6.06079,95.2905,129.559,123.156,5.51632,202.251,1004.04,1435.19,177.696,177.696,177.696
89,0,0,0,0,0,0,0,26.3375,-20.4612,86.1015,195.022,906.916,1575.01,201.728,201.728,201.728,-2.86112,0,0,-3.77592,-3.34701,40.7151,66.8501,90.2663,85.7817,37.816,933.069,1457.68,180.47,180.47,180.47,18.0331,-1.49089e-015,-4.0075e-013,4.38048,19.7088,85.687,62.108,934.799,502.671,548.024,548.024,548.024,59.9148,-62.5029,84.2585,46.4898,1044.68,83.1134,258.305,258.305,258.305,-77.0552,8.09145,-4.51526,2.18092,-45.323,118.477,21.174,1163.22,742.862,205.932,205.932,205.932,23.1452,-19.7403,188.405,-45.1815,991.116,1150.73,323.228,323.228,323.228,30.0547,3.17617,2.52172,-7.43378,-14.341,-0.719894,-0.382207,17.7377,-47.6115,-28.3563,-7.35543,2.10329,2.90268,0.998357,2.95128,-6.58824,-22.0695,187.445,-32.3919,1050.47,906.646,233.915,233.915,233.915,7.93935,18.8174,75.3569,-4.68487,4.12605,-0.121581,-7.21212,10.7227,135.146,75.1635,871.84,142.349,366.014,366.014,366.014,59.9148,-62.5029,84.2586,39.7115,1128.33,63.8854,86.1017,86.1017,86.1017,-1.56218,-3.36254,2.81178,16.2538,17.7679,66.7658,-1.56327,3.00301,87.0009,217.682,1022.48,1022.75,14.6705,14.6704,14.6705,-4.46067,0,0,-5.47424,-3.12924,35.3863,-84.7544,-58.3603,38.8591,353.212,921.654,1465.68,174.937,174.937,174.937,36.6622,-2.78299e-015,2.25501e-012,-16.15,-6.89161,73.3157,358.969,944.862,496.399,548.492,548.492,548.492,66.5429,-49.1251,74.3795,339.761,1051.39,87.1104,251.256,251.256,251.256,-75.5779,7.26099,7.65737,35.0339,-15.4074,32.4216,497.845,1100.41,777.594,147.954,147.954,147.954,6.24892,-20.8214,-65.458,472.694,886.498,1133.63,354.643,354.643,354.643,30.0547,-3.17617,-2.52172,-4.66978,-15.3915,-14.2397,6.48682,14.4084,-9.74119,-28.3563,7.35543,-2.10329,2.90268,-0.998357,-2.95128,26.4045,11.763,-59.9116,486.952,1010.51,894.595,250.789,250.789,250.789,-6.35312,16.8063,28.0361,-4.68487,-4.12605,0.121581,-8.28337,6.86214,61.7445,349.504,882.872,149.332,352.686,352.687,352.686,66.5428,-49.125,74.3795,328.601,1131.78,66.4369,83.7521,83.7521,83.7521,-1.56218,3.36254,-2.81178,8.18956,6.0453,95.2913,129.492,123.19,5.47961,202.09,1004.32,1435.16,177.703,177.703,177.703
90,0,0,0,0,0,0,0,26.3347,-20.4572,86.1304,194.918,907.253,1575.03,201.728,201.728,201.728,-2.87186,0,0,-3.79057,-3.34776,40.7233,66.7957,90.3253,85.7799,37.6983,933.219,1457.68,180.484,180.484,180.484,18.0389,-6.95746e-016,-2.3059e-013,4.37555,19.7076,85.7513,61.9983,934.77,502.659,548.023,548.023,548.023,59.9001,-62.5107,84.2881,46.4783,1044.65,83.0735,258.305,258.305,258.305,-77.045,8.11971,-4.52003,2.19089,-45.3206,118.517,21.0547,1163.14,742.775,205.971,205.971,205.971,23.1405,-19.6992,188.458,-45.2715,991.081,1150.7,323.22,323.22,323.22,30.0477,3.18403,2.49479,-7.41347,-14.3279,-0.741776,-0.374244,17.7425,-47.5616,-28.3872,-7.34957,2.08664,2.92132,1.00574,2.91007,-6.61051,-22.0434,187.498,-32.4482,1050.35,906.605,233.906,233.906,233.906,7.95465,18.8063,75.3495,-4.66608,4.13772,-0.115729,-7.22939,10.7138,135.162,75.1577,871.826,142.347,366.006,366.006,366.006,59.9001,-62.5108,84.2881,39.6929,1128.3,63.8309,86.1017,86.1017,86.1017,-1.52772,-3.36223,2.76555,16.2455,17.7776,66.7832,-1.57158,3.02391,87.0416,217.466,1022.56,1022.75,14.6704,14.6704,14.6705,-4.45376,0,0,-5.46524,-3.12855,35.3787,-84.7676,-58.3914,38.9145,353.117,922.081,1465.7,174.939,174.939,174.939,36.6595,1.19271e-015,1.8161e-012,-16.1652,-6.88957,73.3958,358.853,944.928,496.413,548.505,548.505,548.505,66.5315,-49.1379,74.3963,339.755,1051.39,87.1185,251.256,251.256,251.256,-75.5737,7.23994,7.65481,34.9848,-15.378,32.4742,497.673,1100.37,777.46,147.948,147.948,147.948,6.22015,-20.8465,-65.4112,472.652,886.754,1133.67,354.655,354.655,354.655,30.0477,-3.18403,-2.49479,-4.66295,-15.4051,-14.2018,6.47233,14.4104,-9.81541,-28.3872,7.34957,-2.08664,2.92132,-1.00574,-2.91007,26.3607,11.7418,-59.8757,486.851,1010.58,894.547,250.784,250.784,250.784,-6.36119,16.8099,28.0313,-4.66608,-4.13772,0.115729,-8.29967,6.85379,61.7523,349.483,882.88,149.348,352.692,352.692,352.692,66.5315,-49.1378,74.3963,328.599,1131.78,66.4388,83.7521,83.7521,83.7521,-1.52772,3.36223,-2.76555,8.18319,6.0316,95.2969,129.423,123.226,5.4407,201.925,1004.6,1435.12,177.712,177.712,177.712
91,0,0,0,0,0,0,0,26.3336,-20.4505,86.1616,194.816,907.591,1575.05,201.727,201.728,201.728,-2.88389,0,0,-3.80701,-3.34864,40.7329,66.7414,90.3872,85.7778,37.5787,933.369,1457.69,180.499,180.499,180.499,18.0458,4.96962e-016,5.1843e-013,4.36837,19.7066,85.8093,61.8856,934.732,502.646,548.024,548.024,548.024,59.8847,-62.5189,84.32,46.4651,1044.62,83.0314,258.305,258.305,258.305,-77.0342,8.15,-4.52556,2.1997,-45.3183,118.558,20.9292,1163.06,742.699,206.004,206.004,206.004,23.1373,-19.6582,188.515,-45.368,991.04,1150.67,323.211,323.211,323.211,30.0398,3.1951,2.46634,-7.39281,-14.3152,-0.757411,-0.369878,17.7471,-47.521,-28.4181,-7.34458,2.07143,2.94119,1.01212,2.86875,-6.63394,-22.0189,187.555,-32.5111,1050.24,906.57,233.899,233.899,233.899,7.97008,18.7946,75.338,-4.64758,4.14728,-0.10848,-7.24677,10.7042,135.18,75.152,871.809,142.344,365.995,365.995,365.995,59.8847,-62.5189,84.32,39.6713,1128.27,63.7731,86.1017,86.1017,86.1017,-1.49256,-3.36073,2.71789,16.239,17.7847,66.8045,-1.58172,3.04494,87.0822,217.243,1022.63,1022.75,14.6704,14.6704,14.6704,-4.4451,0,0,-5.45342,-3.12703,35.3617,-84.7804,-58.4229,38.9721,353.02,922.517,1465.72,174.943,174.943,174.943,36.6584,3.18055e-015,-2.27728e-012,-16.1798,-6.88857,73.4763,358.734,945.003,496.428,548.515,548.515,548.515,66.5201,-49.1531,74.4164,339.749,1051.4,87.129,251.256,251.256,251.256,-75.57,7.21516,7.65303,34.9355,-15.3521,32.5272,497.505,1100.34,777.325,147.939,147.939,147.939,6.19064,-20.8718,-65.3658,472.608,887.013,1133.71,354.667,354.667,354.667,30.0398,-3.1951,-2.46634,-4.65388,-15.4181,-14.1636,6.45982,14.4115,-9.87924,-28.4181,7.34458,-2.07143,2.94119,-1.01212,-2.86875,26.3175,11.7217,-59.841,486.747,1010.67,894.494,250.784,250.784,250.784,-6.3699,16.8142,28.0237,-4.64758,-4.14728,0.10848,-8.31689,6.84629,61.7704,349.464,882.891,149.364,352.7,352.7,352.7,66.5201,-49.1531,74.4164,328.595,1131.79,66.4441,83.7521,83.7521,83.7521,-1.49256,3.36073,-2.71789,8.17548,6.02063,95.3051,129.353,123.264,5.39957,201.755,1004.89,1435.08,177.721,177.721,177.721
92,0,0,0,0,0,0,0,26.3344,-20.441,86.1949,194.717,907.932,1575.07,201.728,201.728,201.727,-2.89715,0,0,-3.82521,-3.3497,40.7445,66.688,90.4517,85.7753,37.4572,933.519,1457.7,180.515,180.515,180.515,18.0537,-2.78299e-015,-3.72125e-013,4.35875,19.7058,85.86,61.7704,934.684,502.63,548.026,548.026,548.026,59.8685,-62.5279,84.3539,46.4511,1044.58,82.9875,258.305,258.305,258.305,-77.0229,8.18224,-4.53151,2.20571,-45.316,118.599,20.8007,1162.96,742.635,206.03,206.03,206.03,23.1356,-19.6173,188.578,-45.4711,990.993,1150.65,323.202,323.202,323.203,30.0314,3.20963,2.43682,-7.37219,-14.3031,-0.766099,-0.369715,17.7515,-47.4911,-28.4491,-7.34082,2.05782,2.96211,1.01737,2.82764,-6.65827,-21.9961,187.618,-32.5818,1050.12,906.542,233.892,233.892,233.892,7.98526,18.7823,75.3221,-4.62942,4.15446,-0.0999551,-7.26404,10.6936,135.201,75.1462,871.787,142.342,365.982,365.982,365.982,59.8685,-62.5279,84.3539,39.6484,1128.22,63.7128,86.1017,86.1017,86.1017,-1.4569,-3.35796,2.66923,16.2359,17.7883,66.8303,-1.5935,3.06602,87.1225,217.012,1022.7,1022.75,14.6704,14.6704,14.6704,-4.43469,0,0,-5.43898,-3.12484,35.3373,-84.7929,-58.4546,39.0315,352.922,922.96,1465.74,174.946,174.946,174.946,36.6585,7.95139e-016,-3.27597e-012,-16.1937,-6.88877,73.5551,358.613,945.086,496.444,548.524,548.524,548.524,66.5088,-49.1706,74.4395,339.742,1051.42,87.1419,251.256,251.256,251.256,-75.567,7.18718,7.65206,34.8872,-15.3297,32.5796,497.34,1100.32,777.189,147.93,147.93,147.93,6.16085,-20.8972,-65.3203,472.562,887.277,1133.75,354.68,354.68,354.68,30.0314,-3.20963,-2.43682,-4.64276,-15.4304,-14.1266,6.44964,14.4117,-9.9324,-28.4491,7.34082,-2.05782,2.96211,-1.01737,-2.82764,26.2746,11.7025,-59.806,486.638,1010.76,894.437,250.787,250.787,250.787,-6.37865,16.8196,28.0151,-4.62942,-4.15446,0.0999551,-8.33493,6.83951,61.7969,349.445,882.904,149.379,352.711,352.711,352.711,66.5089,-49.1706,74.4395,328.59,1131.8,66.4527,83.7521,83.7521,83.7521,-1.4569,3.35796,-2.66923,8.16716,6.01344,95.3139,129.282,123.303,5.35655,201.581,1005.18,1435.04,177.73,177.73,177.73
93,0,0,0,0,0,0,0,26.3374,-20.4284,86.2296,194.62,908.273,1575.09,201.728,201.728,201.728,-2.9116,0,0,-3.84511,-3.35101,40.7587,66.6355,90.5179,85.7723,37.334,933.671,1457.72,180.529,180.529,180.529,18.0624,1.78906e-015,2.49674e-013,4.34663,19.7055,85.9029,61.6536,934.626,502.613,548.03,548.03,548.03,59.8515,-62.5378,84.3895,46.4375,1044.54,82.9426,258.305,258.305,258.305,-77.0114,8.21635,-4.53751,2.20733,-45.3139,118.64,20.6717,1162.86,742.585,206.046,206.046,206.046,23.1356,-19.5765,188.646,-45.5814,990.943,1150.63,323.193,323.193,323.193,30.0223,3.22776,2.40673,-7.35202,-14.2918,-0.767745,-0.37413,17.7556,-47.4728,-28.48,-7.33863,2.0459,2.98383,1.02139,2.78707,-6.68315,-21.975,187.686,-32.6615,1050,906.519,233.886,233.886,233.886,7.99979,18.7696,75.3013,-4.61164,4.15911,-0.0902811,-7.28095,10.682,135.225,75.1403,871.761,142.339,365.966,365.966,365.966,59.8514,-62.5378,84.3894,39.6258,1128.18,63.6513,86.1017,86.1017,86.1016,-1.42098,-3.35391,2.62004,16.2376,17.7876,66.8612,-1.6069,3.08653,87.1625,216.777,1022.76,1022.75,14.6705,14.6704,14.6704,-4.42272,0,0,-5.42227,-3.12217,35.3074,-84.805,-58.486,39.092,352.821,923.408,1465.75,174.95,174.95,174.95,36.6589,0,3.46362e-012,-16.2067,-6.89034,73.6299,358.49,945.177,496.461,548.532,548.531,548.531,66.4979,-49.1896,74.4649,339.735,1051.43,87.1567,251.256,251.256,251.256,-75.5646,7.1567,7.65191,34.8416,-15.3101,32.6303,497.175,1100.32,777.056,147.921,147.921,147.921,6.13134,-20.9224,-65.2731,472.514,887.551,1133.79,354.694,354.694,354.694,30.0223,-3.22776,-2.40673,-4.62984,-15.4419,-14.0928,6.44215,14.4108,-9.97484,-28.48,7.33863,-2.0459,2.98383,-1.02139,-2.78707,26.2316,11.6841,-59.7694,486.523,1010.86,894.376,250.793,250.793,250.793,-6.38663,16.8262,28.0074,-4.61164,-4.15911,0.0902811,-8.35369,6.83337,61.8298,349.428,882.918,149.394,352.723,352.723,352.723,66.4979,-49.1896,74.4649,328.583,1131.82,66.4642,83.7521,83.7521,83.7521,-1.42098,3.35391,-2.62004,8.15973,6.0107,95.3208,129.211,123.344,5.31173,201.404,1005.48,1435,177.74,177.74,177.74
94,0,0,0,0,0,0,0,26.3428,-20.4128,86.2652,194.524,908.615,1575.11,201.728,201.728,201.727,-2.92708,0,0,-3.8666,-3.35262,40.7763,66.5844,90.5853,85.7687,37.209,933.826,1457.74,180.543,180.543,180.543,18.0717,2.68359e-015,6.82229e-013,4.33209,19.7057,85.9384,61.5358,934.556,502.593,548.035,548.035,548.035,59.8335,-62.5491,84.4261,46.4253,1044.5,82.8973,258.305,258.305,258.305,-76.9999,8.25218,-4.54317,2.20319,-45.312,118.68,20.5446,1162.74,742.549,206.051,206.051,206.051,23.1374,-19.5356,188.719,-45.699,990.888,1150.63,323.183,323.183,323.183,30.0129,3.24938,2.37662,-7.33266,-14.2814,-0.762841,-0.383171,17.7596,-47.4659,-28.5105,-7.3382,2.03557,3.00608,1.02409,2.74716,-6.70805,-21.9552,187.758,-32.7517,1049.89,906.502,233.881,233.881,233.881,8.01325,18.7567,75.2756,-4.59426,4.16117,-0.0797945,-7.29729,10.6694,135.252,75.1342,871.732,142.337,365.947,365.947,365.946,59.8335,-62.5492,84.4261,39.6051,1128.13,63.5895,86.1017,86.1017,86.1016,-1.38507,-3.34861,2.57078,16.2453,17.7821,66.8973,-1.62158,3.10651,87.2018,216.539,1022.83,1022.75,14.6704,14.6704,14.6704,-4.40941,0,0,-5.40375,-3.11922,35.2743,-84.8166,-58.5171,39.1533,352.717,923.859,1465.76,174.954,174.954,174.954,36.6585,-3.57812e-015,-2.21367e-012,-16.2188,-6.89345,73.6986,358.367,945.273,496.478,548.538,548.538,548.538,66.4875,-49.2099,74.492,339.726,1051.45,87.1732,251.256,251.256,251.256,-75.5629,7.12454,7.65251,34.8001,-15.2922,32.6786,497.004,1100.34,776.928,147.912,147.912,147.912,6.10275,-20.9467,-65.223,472.464,887.837,1133.83,354.708,354.708,354.708,30.0129,-3.24938,-2.37662,-4.61551,-15.4524,-14.0644,6.43768,14.4089,-10.0065,-28.5105,7.3382,-2.03557,3.00608,-1.02409,-2.74716,26.1881,11.6662,-59.7298,486.4,1010.98,894.313,250.797,250.797,250.797,-6.39299,16.8341,28.0024,-4.59426,-4.16117,0.0797945,-8.37303,6.82774,61.8668,349.411,882.934,149.408,352.737,352.737,352.737,66.4875,-49.2098,74.492,328.574,1131.83,66.4783,83.7521,83.7521,83.7521,-1.38507,3.34861,-2.57078,8.15461,6.01238,95.3235,129.141,123.385,5.26556,201.223,1005.77,1434.96,177.748,177.748,177.748
95,0,0,0,0,0,0,0,26.3507,-20.3945,86.3011,194.43,908.957,1575.14,201.728,201.728,201.728,-2.94344,0,0,-3.88944,-3.35457,40.7975,66.5349,90.6527,85.7646,37.0824,933.984,1457.76,180.555,180.554,180.555,18.0814,-2.5842e-015,-2.03556e-013,4.31542,19.7066,85.9672,61.4177,934.477,502.573,548.042,548.042,548.042,59.8146,-62.5621,84.4634,46.4152,1044.45,82.8525,258.305,258.305,258.305,-76.9888,8.2895,-4.54821,2.19215,-45.3103,118.72,20.4204,1162.61,742.525,206.044,206.044,206.044,23.141,-19.4946,188.795,-45.824,990.832,1150.62,323.173,323.173,323.173,30.0033,3.27426,2.3471,-7.31437,-14.272,-0.752415,-0.39664,17.7632,-47.4697,-28.5407,-7.33976,2.02667,3.02862,1.02548,2.70812,-6.73228,-21.9366,187.834,-32.8536,1049.77,906.487,233.877,233.877,233.878,8.02531,18.7436,75.2454,-4.57735,4.16071,-0.0687717,-7.31289,10.6557,135.282,75.1278,871.701,142.334,365.925,365.925,365.925,59.8147,-62.5621,84.4634,39.5876,1128.08,63.5286,86.1017,86.1017,86.1017,-1.34944,-3.34219,2.52192,16.2599,17.7718,66.9374,-1.63751,3.12554,87.2402,216.3,1022.9,1022.75,14.6704,14.6704,14.6705,-4.39505,0,0,-5.38383,-3.11618,35.2403,-84.8279,-58.5475,39.2147,352.61,924.312,1465.77,174.958,174.958,174.958,36.6562,7.95139e-016,3.57494e-012,-16.2299,-6.89822,73.7589,358.244,945.375,496.494,548.543,548.543,548.543,66.4777,-49.2307,74.52,339.717,1051.47,87.1907,251.256,251.256,251.256,-75.5617,7.09149,7.65373,34.7635,-15.2748,32.7242,496.823,1100.39,776.805,147.904,147.904,147.904,6.0757,-20.9696,-65.1688,472.411,888.141,1133.86,354.721,354.721,354.721,30.0033,-3.27426,-2.3471,-4.60011,-15.4619,-14.0433,6.43649,14.406,-10.0277,-28.5407,7.33976,-2.02667,3.02862,-1.02548,-2.70812,26.1439,11.6485,-59.6865,486.267,1011.11,894.249,250.799,250.799,250.799,-6.3969,16.843,28.0016,-4.57735,-4.16071,0.0687717,-8.39277,6.8225,61.9054,349.395,882.951,149.421,352.753,352.753,352.753,66.4777,-49.2307,74.52,328.563,1131.85,66.4943,83.7521,83.7521,83.7521,-1.34944,3.34219,-2.52192,8.15298,6.0181,95.3205,129.072,123.427,5.2184,201.039,1006.07,1434.92,177.756,177.756,177.756
96,0,0,0,0,0,0,0,26.361,-20.3737,86.3365,194.336,909.299,1575.16,201.727,201.728,201.727,-2.96041,0,0,-3.91335,-3.35685,40.8224,66.4871,90.7195,85.7601,36.9543,934.147,1457.79,180.564,180.564,180.564,18.091,-1.19271e-015,3.06924e-013,4.29702,19.7081,85.9908,61.2999,934.387,502.551,548.05,548.05,548.05,59.7951,-62.5767,84.5008,46.4078,1044.4,82.809,258.305,258.305,258.305,-76.9783,8.32795,-4.55242,2.1737,-45.3087,118.759,20.2984,1162.46,742.513,206.025,206.025,206.025,23.1467,-19.4531,188.876,-45.9565,990.775,1150.62,323.162,323.162,323.162,29.9939,3.30205,2.31879,-7.29747,-14.2635,-0.738071,-0.413966,17.7667,-47.4823,-28.5703,-7.34345,2.01889,3.05108,1.02561,2.67006,-6.75508,-21.9186,187.914,-32.969,1049.65,906.475,233.874,233.875,233.874,8.03554,18.7307,75.2112,-4.56092,4.15792,-0.0575386,-7.32762,10.6409,135.316,75.121,871.667,142.331,365.9,365.9,365.9,59.7951,-62.5767,84.5009,39.5738,1128.03,63.4698,86.1017,86.1017,86.1017,-1.3144,-3.33481,2.47387,16.2815,17.7567,66.9808,-1.65474,3.14365,87.2777,216.06,1022.96,1022.74,14.6703,14.6704,14.6705,-4.37977,0,0,-5.3629,-3.11322,35.2071,-84.8386,-58.577,39.2755,352.499,924.762,1465.78,174.961,174.961,174.961,36.6513,-3.97569e-016,1.61572e-012,-16.2398,-6.90466,73.8092,358.123,945.478,496.51,548.547,548.547,548.547,66.4685,-49.2518,74.5482,339.708,1051.49,87.2091,251.256,251.256,251.256,-75.5612,7.05828,7.65534,34.7319,-15.2569,32.767,496.629,1100.46,776.689,147.898,147.898,147.898,6.0507,-20.9905,-65.1104,472.353,888.463,1133.89,354.732,354.732,354.732,29.9939,-3.30205,-2.31879,-4.5842,-15.4704,-14.0311,6.43869,14.4022,-10.0388,-28.5703,7.34345,-2.01889,3.05108,-1.02561,-2.67006,26.099,11.6308,-59.6392,486.123,1011.25,894.186,250.798,250.798,250.798,-6.39785,16.8526,28.0054,-4.56092,-4.15792,0.0575386,-8.41278,6.81761,61.9436,349.38,882.969,149.434,352.769,352.769,352.769,66.4685,-49.2518,74.5482,328.551,1131.87,66.512,83.7521,83.7521,83.7522,-1.3144,3.33481,-2.47387,8.15515,6.02701,95.3114,129.004,123.468,5.17086,200.852,1006.37,1434.89,177.763,177.763,177.763
97,0,0,0,0,0,0,0,26.3738,-20.3508,86.3707,194.242,909.64,1575.19,201.728,201.728,201.728,-2.97767,0,0,-3.93785,-3.35946,40.8508,66.4412,90.7847,85.7551,36.8249,934.315,1457.82,180.571,180.572,180.571,18.1002,1.88845e-015,-5.62958e-013,4.2775,19.7101,86.0111,61.183,934.291,502.528,548.059,548.059,548.059,59.7751,-62.5929,84.5378,46.4031,1044.36,82.7671,258.305,258.305,258.305,-76.9687,8.36708,-4.55569,2.14795,-45.307,118.798,20.1766,1162.29,742.51,205.995,205.995,205.995,23.1543,-19.4111,188.958,-46.0964,990.718,1150.62,323.152,323.152,323.152,29.9849,3.33234,2.29229,-7.28197,-14.2561,-0.721563,-0.434194,17.7699,-47.5013,-28.5994,-7.34945,2.01188,3.07321,1.02461,2.63292,-6.7755,-21.9005,187.997,-33.0993,1049.53,906.464,233.872,233.872,233.872,8.04367,18.7182,75.1739,-4.54498,4.15316,-0.0465373,-7.34144,10.6253,135.351,75.1136,871.634,142.328,365.875,365.875,365.875,59.7751,-62.5929,84.5379,39.5642,1127.98,63.4139,86.1017,86.1017,86.1017,-1.28019,-3.32671,2.42702,16.3101,17.7373,67.0259,-1.67198,3.16055,87.3145,215.823,1023.03,1022.73,14.6704,14.6704,14.6704,-4.3638,0,0,-5.34134,-3.11045,35.1761,-84.8489,-58.6055,39.3352,352.384,925.209,1465.79,174.964,174.964,174.964,36.6433,-3.57812e-015,-1.44079e-012,-16.2487,-6.91266,73.849,358.005,945.583,496.526,548.551,548.551,548.551,66.46,-49.2729,74.576,339.698,1051.51,87.2282,251.256,251.256,251.256,-75.5611,7.02552,7.65708,34.7041,-15.2375,32.8072,496.418,1100.56,776.575,147.897,147.897,147.897,6.02802,-21.009,-65.0483,472.288,888.804,1133.92,354.741,354.741,354.741,29.9849,-3.33234,-2.29229,-4.56825,-15.478,-14.0285,6.44415,14.3974,-10.0409,-28.5994,7.34945,-2.01188,3.07321,-1.02461,-2.63292,26.0535,11.6133,-59.5886,485.967,1011.42,894.124,250.792,250.792,250.792,-6.3956,16.8625,28.0138,-4.54498,-4.15316,0.0465373,-8.43288,6.81299,61.9797,349.366,882.985,149.445,352.786,352.786,352.786,66.4599,-49.2728,74.576,328.539,1131.89,66.531,83.7521,83.7521,83.752,-1.28019,3.32671,-2.42702,8.15991,6.03754,95.2965,128.939,123.509,5.12346,200.664,1006.67,1434.85,177.767,177.768,177.768
